Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment|topic0|topic1|topic2|topic3|topic4|topic5|topic6|topic7|topic8|topic9
Deutsche Bank AG|Banken|January 2014|8|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank Gruppe / Zurich Gruppe, Bonn in Bonn gearbeitet.|  |Umgang mit Ã¤lteren Kollegen|4|Gut|0.10581824|0.09374538|0.10568126|0.12494115|0.0923239|0.101363674|0.094523095|0.09505332|0.094615825|0.09193417
Deutsche Bank AG|Banken|January 2014|8|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank Gruppe / Zurich Gruppe, Bonn in Bonn gearbeitet.|  |Umwelt-/Sozialbewusstsein|4|Ok|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|January 2014|8|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank Gruppe / Zurich Gruppe, Bonn in Bonn gearbeitet.|  |Work-Life-Balance|4|Ok|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|January 2014|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Eschborn gearbeitet.|  |Overall|3.0|Viele Low-Performer, dadurch hohe...|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|December 2013|10|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Berlin gearbeitet.|  |Overall|4.0|Global Player|0.123269714|0.08468182|0.09536059|0.08957963|0.087083675|0.0880157|0.088079646|0.16975136|0.088306196|0.085871644
Deutsche Bank AG|Banken|December 2013|1|Ex-Angestellte/r oder Arbeiter/in|Hat bei DEUTSCHE BANK AG in Mainz gearbeitet.|  |Overall|1.0|Ã¼berhaupt nicht|0.11131874|0.098499596|0.09221228|0.10255073|0.09396823|0.10856127|0.10222035|0.10777149|0.09093511|0.09196222
Deutsche Bank AG|Banken|December 2013|1|Ex-Angestellte/r oder Arbeiter/in|Hat bei DEUTSCHE BANK AG in Mainz gearbeitet.|  |Kollegenzusammenhalt|1|ungenÃ¼gend|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|November 2013|2|Ex-Angestellte/r oder Arbeiter/in|Hat bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Overall|3.8|Da konnte ich als Praktikant ganz viel lernen....|0.0862946|0.19861709|0.11592097|0.08924417|0.08393185|0.08202495|0.08155455|0.079037584|0.08541762|0.09795669
Deutsche Bank AG|Banken|November 2013|3|Ex-Auszubildende/r|Hat 2005 eine Ausbildung zum/zur Auszubildende/r im Bereich Vertrieb / Verkauf bei Postbank in Hamburg abgeschlossen.|  |Overall|3.4|Fachlich 1, Menschlich 5 - Die Maschine Mensch|0.106530465|0.09339714|0.101164006|0.09863854|0.10474426|0.09398227|0.10252952|0.104103014|0.09335602|0.101554744
Deutsche Bank AG|Banken|November 2013|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Overall|3.3|Bezahlung ok, aber lÃ¤hmende Prozesse,...|0.08316067|0.08410228|0.15334363|0.17365994|0.08462582|0.08375116|0.08468785|0.08344483|0.08482271|0.08440116
Deutsche Bank AG|Banken|November 2013|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |ArbeitsatmosphÃ¤re|3|Tendenz stark fallend...|0.15020509|0.08437941|0.14368649|0.10129357|0.083047405|0.094266005|0.08182593|0.09134363|0.08200641|0.08794606
Deutsche Bank AG|Banken|November 2013|4|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Kollegenzusammenhalt|2|Zusammenhalt gibt es nur im engsten Team. DarÃ¼ber hinaus greifen Bereichsegoismen und es gilt: jeder ist sich selbst der nÃ¤chste|0.06707425|0.13557616|0.073787324|0.19422826|0.067823626|0.1572818|0.070626855|0.074508995|0.060934924|0.098157816
Deutsche Bank AG|Banken|November 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Heidelberg gearbeitet.|  |Overall|5.0|Gutes Arbeitsumfeld|0.15804903|0.09172135|0.094005674|0.09259585|0.09104278|0.10700424|0.09077113|0.089994624|0.09146489|0.093350485
Deutsche Bank AG|Banken|November 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Heidelberg gearbeitet.|  |Kollegenzusammenhalt|5|Kooperatives Team und Kollegen|0.10669265|0.085994124|0.09361949|0.18406922|0.08486503|0.09146914|0.08355793|0.09582455|0.084522925|0.089384966
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Overall|4.6|Ich finde die AtmosphÃ¤re sehr angenehm und...|0.10636708|0.11750437|0.106572345|0.08843921|0.08568712|0.083719514|0.0829094|0.16305746|0.082329|0.08341447
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |ArbeitsatmosphÃ¤re|5|Es ist sehr angenehm in der Arbeit.|0.10719552|0.112678|0.17535132|0.08775278|0.08585277|0.0922937|0.08644871|0.08493485|0.08266504|0.084827274
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Kollegenzusammenhalt|5|Die Kollegen helfen einem immer direkt ohne mÃ¼rrisch zu sein oder sonstiges. Man steht auch fÃ¼reinander ein wenn man mal etwas falsch gemacht hat und Ã¼bernimmt gemeinsam die Verantwortung.|0.22915672|0.057658423|0.15959693|0.090950295|0.05209085|0.08200074|0.05507343|0.16672261|0.052952755|0.05379727
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Gleichberechtigung|5|In meiner Ansicht werden in der Bank alle nach Ihren Leistungen und nicht nach ihrer Herkunft oder sonstiges bewertet.|0.39248124|0.06259304|0.061131835|0.06593558|0.06487845|0.10229835|0.06255245|0.06390761|0.06222614|0.06199531
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Umgang mit Ã¤lteren Kollegen|4|Sie sind stehts freundlich und teilen gerne Ihr wissen mit einem.|0.099540316|0.08721841|0.092821635|0.08504072|0.08921874|0.09116424|0.08543449|0.08668396|0.09095938|0.19191813
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Umwelt-/Sozialbewusstsein|4|Es wird sich stets bemÃ¼ht sich fÃ¼r die Mitmenschen einzusetzen. Auch die Mitarbeiter werden mit diversen Aktionen dazu motiviert.|0.45709836|0.05719209|0.06423129|0.059881184|0.056425646|0.06253912|0.058729477|0.061257266|0.058993954|0.0636516
Deutsche Bank AG|Banken|October 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Work-Life-Balance|5|Durch die flexible Arbeitszeit kann man sich seinen Tag sehr gut einteilen.|0.1949778|0.07035126|0.06968427|0.1642842|0.06769571|0.07497643|0.06935421|0.15068018|0.06958357|0.0684124
Deutsche Bank AG|Banken|October 2013|7|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Db Immobilien (Deutsche Bank) in MÃ¼nchen gearbeitet.|  |Overall|2.5|uNflexibel, unfair, unangenehme ArbeitsatmosphÃ¤re|0.1819695|0.13343185|0.09863388|0.0867775|0.08261112|0.08258733|0.08488866|0.08477627|0.081698015|0.08262583
Deutsche Bank AG|Banken|October 2013|8|Ex-Angestellte/r oder Arbeiter/in|Hat bis 2013 im Bereich Vertrieb / Verkauf bei Deutsche Bank PGK AG in Hannover gearbeitet.|  |Overall|3.4|Wandel|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|October 2013|8|Ex-Angestellte/r oder Arbeiter/in|Hat bis 2013 im Bereich Vertrieb / Verkauf bei Deutsche Bank PGK AG in Hannover gearbeitet.|  |Gleichberechtigung|4|Frauen haben hohen Aufstiegschancen-das Unternehmen steht auf Frauen in FÃ¼hrungspositionen. Manchmal um jeden Preis.|0.175523|0.063271664|0.07495315|0.07253355|0.058322154|0.15874319|0.062133625|0.20568217|0.058595542|0.07024194
Deutsche Bank AG|Banken|October 2013|8|Ex-Angestellte/r oder Arbeiter/in|Hat bis 2013 im Bereich Vertrieb / Verkauf bei Deutsche Bank PGK AG in Hannover gearbeitet.|  |Umgang mit Ã¤lteren Kollegen|1|Werden im Laufe der Zeit immer weniger. Altersteilzeit lÃ¤sst grÃ¼ÃŸen. In den verschiedenen Filialen werden Kollegen Ã¼ber 55 sehr rar.|0.14760402|0.07335646|0.10991548|0.190638|0.0711315|0.07225465|0.08984087|0.089294426|0.078833155|0.07713143
Deutsche Bank AG|Banken|October 2013|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Overall|1.0|unvorstellbar respektloser Umgang mit den...|0.090425|0.090507455|0.14264113|0.1253146|0.091094755|0.09241212|0.09303621|0.09073345|0.09371681|0.09011853
Deutsche Bank AG|Banken|October 2013|10|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank AG, Frankfurt in Frankfurt gearbeitet.|  |Overall|1.1|Nicht zufrieden|0.097467765|0.10147955|0.09565958|0.12978077|0.09570843|0.09363966|0.10590953|0.09021874|0.09521873|0.09491722
Deutsche Bank AG|Banken|October 2013|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DWS Investments - Deutsche Asset & Wealth Management / Deutsche Bank AG in Frankfurt gearbeitet.|  |Overall|5.0|...|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|October 2013|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DWS Investments - Deutsche Asset & Wealth Management / Deutsche Bank AG in Frankfurt gearbeitet.|  |ArbeitsatmosphÃ¤re|5|...|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|October 2013|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DWS Investments - Deutsche Asset & Wealth Management / Deutsche Bank AG in Frankfurt gearbeitet.|  |Kollegenzusammenhalt|5|...|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
Deutsche Bank AG|Banken|October 2013|2|Ex-Auszubildende/r|Hat 2008 eine Ausbildung zum/zur Auszubildende/r bei Deutsche Bank Aktiengesellschaft in Braunschweig abgeschlossen.|  |Overall|3.2|Interessante und vielfÃ¤ltige Ausbildung, die fachlich hervorragend ist!|0.08686125|0.08499449|0.10770648|0.10806834|0.09400892|0.15086898|0.093115926|0.0886687|0.08808771|0.097619206
Deutsche Bank AG|Banken|September 2013|3|Ex-Angestellte/r oder Arbeiter/in|Hat bei DEUTSCHE BANK AG in NÃ¼rnberg gearbeitet.|  |Overall|3.5|Ausbildung war gut und umfassend.|0.094180375|0.08926036|0.09819218|0.12021754|0.0853515|0.15704869|0.09074987|0.08717381|0.08592005|0.09190561
Deutsche Bank AG|Banken|September 2013|3|Ex-Angestellte/r oder Arbeiter/in|Hat bei DEUTSCHE BANK AG in NÃ¼rnberg gearbeitet.|  |Kollegenzusammenhalt|3|Konzern halt|0.0866634|0.084992975|0.10247613|0.17433684|0.10617083|0.0895142|0.092643164|0.08358989|0.086112946|0.09349964
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |Overall|2.6|Die Bank an sich ist ein hervorragendes...|0.11204275|0.098254904|0.09420604|0.10397194|0.098492555|0.11705986|0.09212054|0.09115913|0.09653102|0.0961613
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |ArbeitsatmosphÃ¤re|1|siehe ausfÃ¼hrliche Beschreibung zu Punkt 1.|0.07174174|0.10258661|0.07386557|0.07503049|0.07737676|0.07474885|0.2603755|0.080194674|0.10357241|0.08050737
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |Kollegenzusammenhalt|4|siehe ausfÃ¼hrliche Beschreibung zu Punkt 1.|0.07174084|0.10259721|0.07386425|0.075028755|0.077375084|0.074746795|0.2604425|0.0801918|0.10350997|0.0805028
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |Gleichberechtigung|3|siehe ausfÃ¼hrliche Beschreibung zu Punkt 1.|0.07174165|0.10259255|0.07386548|0.07503034|0.077376544|0.07474872|0.26038185|0.08019423|0.10356153|0.08050714
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |Umgang mit Ã¤lteren Kollegen|3|siehe ausfÃ¼hrliche Beschreibung zu Punkt 1.|0.07173977|0.10257583|0.07386232|0.07502642|0.077373326|0.07474371|0.26052788|0.080189325|0.103465885|0.08049549
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |Umwelt-/Sozialbewusstsein|3|siehe ausfÃ¼hrliche Beschreibung zu Punkt 1.|0.07174119|0.102575846|0.073864594|0.075029306|0.077375904|0.07474729|0.26041937|0.0801935|0.10354922|0.08050373
Deutsche Bank AG|Banken|September 2013|4|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank PGK AG in Sylt / Westerland gearbeitet.|  |Work-Life-Balance|2|siehe ausfÃ¼hrliche Beschreibung zu Punkt 1.|0.07174026|0.102562726|0.07386297|0.0750273|0.07737432|0.0747447|0.26049286|0.08019108|0.10350618|0.08049763
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Overall|3.6|positiv: gute Bezahlung, gute...|0.08651405|0.07802144|0.27798527|0.10801474|0.07187295|0.080607586|0.07475621|0.07434789|0.07569166|0.07218818
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |ArbeitsatmosphÃ¤re|3|sehr abhÃ¤ngig vom Vorgesetzten. Hat er FÃ¼hrungsqualitÃ¤t und Charakter: 5 Sterne, hat er dies nicht, sind es 0 Sterne|0.15144363|0.14691968|0.07306833|0.09338086|0.10585032|0.09045749|0.10030885|0.08593724|0.07330183|0.07933173
